Title,Author,Publisher,"No. of collected volumes",Serialized
Chameleon,Atsushi Kase,Kodansha,47,1990–1999
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,12,2003–2006
Fruits Basket,Natsuki Takaya,Hakusensha,23,1998–2006
Gaki Deka,Tatsuhiko Yamagami,Akita Shoten,26,1974–1980
Jarinko Chie,Etsumi Haruki,Futabasha,67,1978–1997
Jingi [ja],Tachihara Ayumi,Akita Shoten,81,1988–2019
Kaze Densetsu: Bukkomi no Taku [ja],"Hiroto Saki, Shinya Kuwahara",Kodansha,27,1991–1997
One-Punch Man,"One, Yusuke Murata",Shueisha,23,2012–present
Reborn!,Akira Amano,Shueisha,42,2004–2012
Salary Man Kintaro,Hiroshi Motomiya,Shueisha,30,1994–2002
Shura no Mon,Masatoshi Kawahara,Kodansha,31,1987–1996
Tokimeki Tonight,Koi Ikeno,Shueisha,30,1982–1994
Ushio and Tora,Kazuhiro Fujita,Shogakukan,33,1990–1996
Yawara!,Naoki Urasawa,Shogakukan,29,1986–1993
Futari Ecchi,Katsu Aki,Hakusensha,84,1997–present
Asari-chan,Mayumi Muroyama,Shogakukan,100,1978–2014
Pokémon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",Shogakukan,59,1997–present
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,34,1985–1991
Bari Bari Densetsu,Shuichi Shigeno,Kodansha,38,1983–1991
Tsuribaka Nisshi,"Jūzo Yamasaki, Kenichi Kitami",Shogakukan,106,1979–present
Angel Heart,Tsukasa Hojo,"Shinchosha (first series)
Tokuma Shoten (second series)",54,2001–2017
Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",Kodansha,20,1968–1973
Assassination Classroom,Yūsei Matsui,Shueisha,21,2012–2016
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,32,1991–1997
Chihayafuru,Yuki Suetsugu,Kodansha,47,2007–present
D.Gray-man,Katsura Hoshino,Shueisha,27,2004–present
Flame of Recca,Nobuyuki Anzai,Shogakukan,33,1995–2002
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,23,1998–2003
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,37,2009–2017
